bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,4,5,9,0.9
Afogados,9,10,15,0.3333333333333333
Alto José Bonifácio,6,7,13,0.6190476190476191
Alto José do Pinho,7,8,15,0.5357142857142857
Alto Santa Teresinha,6,7,13,0.6190476190476191
Alto do Mandu,4,5,7,0.7
Apipucos,6,7,10,0.47619047619047616
Areias,5,6,8,0.5333333333333333
Arruda,8,9,15,0.4166666666666667
Barro,4,5,6,0.6
Beberibe,4,5,7,0.7
Boa Viagem,3,4,3,0.5
Boa Vista,9,10,18,0.4
Bomba do Hemetério,5,6,10,0.6666666666666666
Bongi,4,5,8,0.8
Brasília Teimosa,1,2,1,1.0
Brejo da Guabiraba,5,6,10,0.6666666666666666
Brejo de Beberibe,7,8,14,0.5
Cabanga,3,4,3,0.5
Cajueiro,3,4,5,0.8333333333333334
Campina do Barreto,5,6,9,0.6
Campo Grande,6,7,12,0.5714285714285714
Casa Amarela,10,11,20,0.36363636363636365
Casa Forte,4,5,8,0.8
Caxangá,4,5,6,0.6
Caçote,1,2,1,1.0
Cidade Universitária,4,5,6,0.6
Coelhos,5,6,10,0.6666666666666666
Cohab,2,3,2,0.6666666666666666
Coqueiral,3,4,5,0.8333333333333334
Cordeiro,7,8,13,0.4642857142857143
Curado,4,5,5,0.5
Córrego do Jenipapo,6,7,12,0.5714285714285714
Derby,5,6,11,0.7333333333333333
Dois Irmãos,5,6,8,0.5333333333333333
Dois Unidos,4,5,7,0.7
Encruzilhada,8,9,19,0.5277777777777778
Engenho do Meio,4,5,7,0.7
Espinheiro,6,7,13,0.6190476190476191
Estância,3,4,5,0.8333333333333334
Fundão,4,5,8,0.8
Graças,10,11,22,0.4
Guabiraba,5,6,8,0.5333333333333333
Hipódromo,3,4,6,1.0
Ibura,3,4,4,0.6666666666666666
Ilha Joana Bezerra,6,7,11,0.5238095238095238
Ilha do Leite,4,5,8,0.8
Ilha do Retiro,6,7,13,0.6190476190476191
Imbiribeira,4,5,5,0.5
Ipsep,2,3,3,1.0
Iputinga,5,6,9,0.6
Jaqueira,5,6,9,0.6
Jardim São Paulo,6,7,10,0.47619047619047616
Jiquiá,5,6,8,0.5333333333333333
Jordão,3,4,3,0.5
Linha do Tiro,6,7,12,0.5714285714285714
Macaxeira,3,4,5,0.8333333333333334
Madalena,7,8,15,0.5357142857142857
Mangabeira,4,5,8,0.8
Mangueira,4,5,8,0.8
Monteiro,4,5,7,0.7
Morro da Conceição,5,6,11,0.7333333333333333
Mustardinha,4,5,8,0.8
Nova Descoberta,7,8,13,0.4642857142857143
Paissandu,6,7,13,0.6190476190476191
Parnamirim,5,6,10,0.6666666666666666
Passarinho,4,5,7,0.7
Pau-Ferro,1,2,1,1.0
Peixinhos,2,3,3,1.0
Pina,3,4,3,0.5
Ponto de Parada,6,7,13,0.6190476190476191
Porto da Madeira,4,5,7,0.7
Poço,4,5,7,0.7
Prado,7,8,14,0.5
Recife,3,4,5,0.8333333333333334
Rosarinho,5,6,11,0.7333333333333333
San Martin,9,10,16,0.35555555555555557
Sancho,3,4,5,0.8333333333333334
Santana,4,5,7,0.7
Santo Amaro,7,8,13,0.4642857142857143
Santo Antônio,5,6,10,0.6666666666666666
Soledade,2,3,3,1.0
São José,5,6,8,0.5333333333333333
Sítio dos Pintos,1,2,1,1.0
Tamarineira,9,10,18,0.4
Tejipió,4,5,6,0.6
Torre,5,6,9,0.6
Torreão,4,5,8,0.8
Torrões,3,4,5,0.8333333333333334
Totó,3,4,4,0.6666666666666666
Vasco da Gama,5,6,10,0.6666666666666666
Várzea,3,4,5,0.8333333333333334
Zumbi,4,5,8,0.8
Água Fria,8,9,16,0.4444444444444444
